pclass,survived,name,sex,age,sibsp,parch,ticket,fare,embarked
0,1,21,0,29.0,0,0,186,211.3375,2
0,1,23,1,0.92,1,2,48,151.55,2
0,0,24,0,2.0,1,2,48,151.55,2
0,0,25,1,30.0,1,2,48,151.55,2
0,0,26,0,25.0,1,2,48,151.55,2
0,1,30,1,48.0,0,0,123,26.55,2
0,1,45,0,63.0,1,0,91,77.9583,2
0,0,46,1,39.0,0,0,15,0.0,2
0,1,50,0,53.0,2,0,75,51.4792,2
0,0,54,1,71.0,0,0,823,49.5042,0
0,0,68,1,47.0,1,0,831,227.525,0
0,1,69,0,18.0,1,0,831,227.525,0
0,1,72,0,24.0,0,0,793,69.3,0
0,1,92,0,26.0,0,0,117,78.85,2
0,1,93,1,80.0,0,0,295,30.0,2
0,0,97,1,28.0,0,0,788,25.925,2
0,0,98,1,24.0,0,1,798,247.5208,0
0,1,99,0,50.0,0,1,798,247.5208,0
0,1,100,0,32.0,0,0,80,76.2917,0
0,0,103,1,36.0,0,0,87,75.2417,0
0,1,110,1,37.0,1,1,69,52.5542,2
0,1,111,0,47.0,1,1,69,52.5542,2
0,1,113,1,26.0,0,0,11,30.0,0
0,1,120,0,42.0,0,0,831,227.525,0
0,1,122,0,29.0,0,0,795,221.7792,2
0,0,124,1,25.0,0,0,98,26.0,0
0,1,125,1,25.0,1,0,81,91.0792,0
0,1,126,0,19.0,1,0,81,91.0792,0
0,1,127,0,35.0,0,0,834,135.6333,2
0,1,129,1,28.0,0,0,5,26.55,2
0,0,130,1,45.0,0,0,50,35.5,2
0,1,131,1,40.0,0,0,21,31.0,0
0,1,132,0,30.0,0,0,625,164.8667,2
0,1,133,0,58.0,0,0,49,26.55,2
0,0,134,1,42.0,0,0,4,26.55,2
0,1,144,0,45.0,0,0,822,262.375,0
0,1,147,0,22.0,0,1,38,55.0,2
0,1,150,1,28.0,0,0,13,26.55,2
0,0,151,1,41.0,0,0,32,30.5,2
0,0,153,1,48.0,0,0,806,50.4958,0
0,0,156,1,28.0,0,0,24,39.6,0
0,1,162,0,44.0,0,0,824,27.7208,0
0,1,163,0,59.0,2,0,75,51.4792,2
0,1,169,0,60.0,0,0,80,76.2917,0
0,1,171,0,41.0,0,0,104,134.5,0
0,0,175,1,45.0,0,0,30,26.55,2
0,0,182,1,28.0,0,0,61,31.0,2
0,1,183,1,42.0,0,0,792,26.2875,2
0,1,193,0,53.0,0,0,820,27.4458,0
0,1,198,1,36.0,0,1,829,512.3292,0
0,1,199,0,58.0,0,1,829,512.3292,0
0,0,202,1,33.0,0,0,686,5.0,2
0,0,205,1,28.0,0,0,35,47.1,2
0,0,206,1,17.0,0,0,35,47.1,2
0,1,207,1,11.0,1,2,42,120.0,2
0,1,208,0,14.0,1,2,42,120.0,2
0,1,209,1,36.0,1,2,42,120.0,2
0,1,211,0,36.0,1,2,42,120.0,2
0,0,214,1,49.0,0,0,118,26.0,2
0,1,215,0,28.0,0,0,116,27.7208,0
0,0,216,1,36.0,1,0,117,78.85,2
0,1,217,0,76.0,1,0,117,78.85,2
0,0,219,1,46.0,1,0,924,61.175,2
0,1,220,0,47.0,1,0,924,61.175,2
0,1,221,1,27.0,1,0,66,53.1,2
0,1,222,0,33.0,1,0,66,53.1,2
0,1,227,0,36.0,0,0,822,262.375,0
0,1,228,0,30.0,0,0,0,86.5,2
0,1,229,1,45.0,0,0,809,29.7,0
0,1,230,0,28.0,0,1,38,55.0,2
0,0,232,1,28.0,0,0,16,0.0,2
0,0,238,1,27.0,1,0,93,136.7792,0
0,1,239,0,26.0,1,0,93,136.7792,0
0,1,242,0,22.0,0,0,48,151.55,2
0,0,243,1,28.0,0,0,2,52.0,2
0,0,252,1,47.0,0,0,677,25.5875,2
0,1,256,0,39.0,1,1,830,83.1583,0
0,0,257,1,37.0,1,1,830,83.1583,0
0,1,258,0,64.0,0,2,830,83.1583,0
0,1,271,0,55.0,2,0,76,25.7,2
0,0,277,1,28.0,0,0,56,26.55,2
0,0,281,1,70.0,1,1,926,71.0,2
0,1,282,0,36.0,0,2,926,71.0,2
0,1,283,0,64.0,1,1,25,26.55,2
0,0,285,1,39.0,1,0,814,71.2833,0
0,1,286,0,38.0,1,0,814,71.2833,0
0,1,294,1,51.0,0,0,33,26.55,2
0,1,298,1,27.0,0,0,65,30.5,2
0,1,299,0,33.0,0,0,48,151.55,2
0,0,302,1,31.0,1,0,777,52.0,2
0,1,303,0,27.0,1,2,777,52.0,2
0,1,327,1,31.0,1,0,112,57.0,2
0,1,328,0,17.0,1,0,112,57.0,2
0,1,332,1,53.0,1,1,397,81.8583,2
0,1,333,1,4.0,0,2,397,81.8583,2
0,1,334,0,54.0,1,1,397,81.8583,2
0,0,340,1,50.0,1,0,835,106.425,0
0,1,341,0,27.0,1,1,798,247.5208,0
0,1,342,0,48.0,1,0,835,106.425,0
0,1,352,0,48.0,1,0,72,39.6,0
0,1,353,1,49.0,1,0,796,56.9292,0
0,0,354,1,39.0,0,0,802,29.7,0
0,1,360,0,23.0,0,1,74,83.1583,0
0,1,373,0,38.0,0,0,831,227.525,0
0,1,374,0,54.0,1,0,626,78.2667,0
0,0,375,0,36.0,0,0,797,31.6792,0
0,0,379,1,28.0,0,0,795,221.7792,2
0,1,385,0,28.0,0,0,813,31.6833,2
0,1,387,0,28.0,0,0,106,110.8833,0
0,1,390,1,36.0,0,0,790,26.3875,2
0,0,400,1,30.0,0,0,31,27.75,0
0,1,401,0,24.0,3,2,122,263.0,2
0,1,402,0,28.0,3,2,122,263.0,2
0,1,403,0,23.0,3,2,122,263.0,2
0,0,404,1,19.0,3,2,122,263.0,2
